x1coord, x2coord, x3coord, x4coord, n1, n2, n3, attrib1, attrib2
-0.5, -0.1668009393972278, 0.23279, 0.004687893912798695, 0, 0, 0, 2, 27
-0.0797463573479584, 0.001184327549741345, -0.0005376507494224955, 0.0001074023336992762, 0, 0, 0, 2, 230
-0.0797459978026885, 1.535599099659457e-05, -0.0002733849760499797, 0.0001025475947415129, 0, 0, 0, 2, 230
-0.07968263167482942, 0.001056688182846568, -0.0002960021253857035, 8.698449039063701e-05, 0, 0, 0, 2, 229
-0.4212613808575355, 0.298387830921032, -0.233022, 0.04014782059691029, 0, 0, 0, 2, 59
-0.07974609791915488, 0.0003408596523363453, -0.0003469705788442025, 9.692819162032137e-05, 0, 0, 0, 2, 230
-0.07974617887859427, 0.000604079029653261, -0.0004064757667958928, 9.32049966218787e-05, 0, 0, 0, 2, 230
-0.07974622025151694, 0.0007385927444577877, -0.0004368848649523948, 9.121129907076112e-05, 0, 0, 0, 2, 230
-0.07968017931306992, 0.0008515386895038644, -0.0002416414397168094, 9.009922951620054e-05, 0, 0, 0, 2, 229
-0.07967030039928875, 2.512955588590635e-05, -2.265885090064859e-05, 0.0001032859583499887, 0, 0, 0, 2, 229
-0.07968633448178089, 0.001366442225901929, -0.0003780810128098751, 8.19233213926545e-05, 0, 0, 0, 2, 229
-0.0797463933962257, 0.00130152947881735, -0.0005641462258918115, 8.337043510432484e-05, 0, 0, 0, 2, 230
-0.07974615026090766, 0.0005110357760388623, -0.0003854417671321995, 9.473185414732897e-05, 0, 0, 0, 2, 230
-0.079746292189757, 0.0009724819474441729, -0.0004897594713945304, 8.76012253137794e-05, 0, 0, 0, 2, 230
-0.07974588410347384, -0.000354308580660522, -0.0001898160532762833, 0.0001198362706043698, 0, 0, 0, 2, 230
-0.07967925163635819, 0.0007739349645808208, -0.0002210779392735998, 9.15917867352811e-05, 0, 0, 0, 2, 229
-0.07974594146594499, -0.0001678088463705697, -0.0002319774695632852, 0.0001009494149340478, 0, 0, 0, 2, 230
-0.2114227505475394, 0.302172, -0.1669962548969528, 0.08498231981765744, 0, 0, 0, 2, 198
-0.5, 0.1070905534507241, 0.2546072396680971, 0.007574651934104542, 0, 0, 0, 2, 150
-0.5, 0.08447702199659163, 0.2630039767448439, 0.01239907728170007, 0, 0, 0, 2, 42
-0.5, 0.01019467597494166, -0.2760752498343742, 0.02510151010177251, 0, 0, 0, 2, 130
-0.5, -0.2029003386310744, -0.233022, 0.01171569152427391, 0, 0, 0, 2, 12
-0.4915720232731362, -0.2784229995294364, 0.2328048704008792, 0.02464588938278112, 0, 0, 0, 2, 56
-0.5, 0.1980962923695699, -0.233022, 0.01103652497164891, 0, 0, 0, 2, 227
-0.5, -0.170441930084431, -0.233022, 0.005224009814945241, 0, 0, 0, 2, 28
-0.5, 0.2282451704516066, -0.233022, 0.01620027260964792, 0, 0, 0, 2, 220
-0.5, -0.07093118744828676, -0.2670036388651441, 0.01374993690511692, 0, 0, 0, 2, 134
-0.5, 0.1107056262496602, -0.2531342133820154, 0.00676985382132515, 0, 0, 0, 2, 137
-0.357718788702853, -0.302172, 0.2323913602866732, 0.05053595310616041, 0, 0, 0, 2, 162
-0.4981302096303134, 0.2754267406455458, -0.233022, 0.02564399366014955, 0, 0, 0, 2, 63
-0.5, 0.007286566357858793, 0.2761874864929363, 0.02711303041292823, 0, 0, 0, 2, 43
-0.5, 0.1221717158165647, -0.2477862662438977, 0.004239757493830309, 0, 0, 0, 2, 139
-0.5, -0.0439190502542415, 0.2727142710681785, 0.01926831198518677, 0, 0, 0, 2, 142
-0.5, 0.1782798185240744, -0.233022, 0.007073230202549824, 0, 0, 0, 2, 222
-0.5, -0.09342878428895279, -0.2599619023793416, 0.01106667631502038, 0, 0, 0, 2, 33
-0.5, -0.0825859772622984, 0.2635822300933467, 0.01132217980251474, 0, 0, 0, 2, 41
-0.4764208984715138, 0.2843817049932056, 0.2328322135618189, 0.02480358516858797, 0, 0, 0, 2, 124
-0.5, 0.1562311284460139, 0.23279, 0.002203066317829465, 0, 0, 0, 2, 38
-0.5, -0.1012504079670808, 0.2570467706588457, 0.007973197030178833, 0, 0, 0, 2, 149
-0.5, -0.2293813066877051, 0.23279, 0.01469376669539408, 0, 0, 0, 2, 21
-0.5, 0.1984552292613511, 0.23279, 0.009822094929251887, 0, 0, 0, 2, 153
-0.07967250247078973, -0.000219135279964778, 2.49525963020596e-05, 0.0001003068503020606, 0, 0, 0, 2, 228
-0.5, 0.2218274857559754, 0.23279, 0.01363120014224679, 0, 0, 0, 2, 152
-0.5, -0.03741474414130314, -0.2737175390886182, 0.01967390718385473, 0, 0, 0, 2, 136
-0.07967875176123225, -0.000766370443040231, 0.0001272213898953272, 9.143145949833848e-05, 0, 0, 0, 2, 228
-0.07967577566609281, -0.0005057610308297789, 7.85179951134047e-05, 9.55574587237052e-05, 0, 0, 0, 2, 228
-0.5, -0.2292382847729169, -0.233022, 0.01494427569516491, 0, 0, 0, 2, 5
