x,y,z
3.1290922852293144,5.9933825365915459,-3.4181259134834874
2.8961150803685798,6.2373332927634033,-3.5695931669915413
2.8896787874674823,6.1070164305090264,-3.7533549994093822
3.1492904829338602,5.9036139118713598,-3.5482107033459309
2.9630284158550881,5.9104022740156434,-3.7432224626679402
-0.7325336054205368,7.0514411172904605,-0.39199739607063183
-0.77075826998113195,7.0177041948536782,-0.58670109798102177
-0.95497310255305978,6.9974993557230336,-0.66592196080279797
-0.89811397660740366,7.0885437136316689,-0.24951803341124185
-1.0482615667829105,7.1289037825940387,-0.30602114448294099
-1.1396905098622454,7.0713741341935901,-0.50161058726571506
1.1766198365159872,7.1428045087180347,-0.74308533162229851
1.4236982317860485,7.1138494128681167,-0.72102553808609371
1.0794033176356546,7.1084555198570749,-0.57729188939761678
1.3620678786769547,7.0450344409138301,-0.39868440355435153
1.4862280629416735,7.0530318656412661,-0.59070129184791076
1.1605315183570195,7.0705892855776247,-0.41876682314125441
-2.6594829331526091,6.8774217912509172,-2.9330108271757411
-2.8361981576745556,6.6860079320288168,-2.9274146493493687
-2.9156970704014289,6.6811856679558401,-3.0801913761842692
-2.8090586602923451,6.7495367853337171,-3.2914893670194325
1.8689379195887423,7.2221469048997209,-2.0600325371833534
2.1638993629143402,7.2887039594713077,-1.9124620746490826
1.866990916904584,7.2190731920860349,-2.0731247383681497
2.2715709597220806,7.2213162427131454,-2.0554687366508255
2.2586793402103447,7.2418787035892533,-2.2218339603162001
1.958131890756049,7.3213953167368384,-2.3065837461123202
-1.6699467419335481,5.6705574227098348,-4.8079655232476535
-1.615882332466156,5.3896413226974458,-4.8644746574621527
-1.780644309081084,5.2628096238642961,-4.7114285739164776
-1.9029746949023012,5.3509342296854436,-4.6204273991612945
-1.6934712703990036,5.687813760339175,-4.7872420663252147
-1.9443476810669276,5.5747862587968093,-4.6622215236875633
-1.0168552009334078,4.9421649309089295,-4.1340055645399669
-1.1036747412183974,4.9786230913985516,-3.9409655007881184
-1.1397131345820177,4.90312693427121,-4.2922203063691029
-1.2876825386123092,4.9328395625113703,-3.9186499173639358
